,Category,Variable,2020-03-26,2020-03-27,2020-03-28
0,Age Group,0 to 17,46,47,47
1,Age Group,18 to 44,950,971,971
2,Age Group,45 to 64,1749,1886,1886
3,Age Group,65 to 74,946,1032,1032
4,Age Group,75 and over,1029,1103,1103
5,Sex,Female,1918,2035,2035
6,Sex,Male,2801,3003,3003
7,Borough,Bronx,1071,1200,1200
8,Borough,Brooklyn,968,989,989
9,Borough,Manhattan,729,709,709
10,Borough,Queens,1659,1810,1810
11,Borough,Staten Island,283,321,321
12,,Total,4270,5039,5039
